item_id,item_name,brand,kcal_100g,protein_100g,carbs_100g,fat_100g,serving_size,quantity,source
3003406118,"Nonfat yogurt, plain",,53.0,3.96,8.37,0.0,1 cup (227 g),,openfoodfacts
3003406119,"Blended lowfat yogurt, vanilla",,93.0,3.08,18.06,0.88,1 cup (227 g),,openfoodfacts
3003406120,"Lowfat yogurt, plain",,66.0,5.29,7.49,1.98,1 cup (227 g),,openfoodfacts
3003407230,"Nonfat yogurt with aspartame, vanilla",,62.0,3.96,11.01,0.0,1 cup (227 g),,openfoodfacts
3003407465,Fresh bake baguette,,196.0,7.14,42.86,0.0,2 ONZ (56 g),,openfoodfacts
3003407639,Greek nonfat yogurt,,59.0,10.0,4.12,0.0,3/4 cup (170 g),,openfoodfacts
3003407708,"Lowfat yogurt, black cherry",,94.0,2.94,17.65,0.88,6 ONZ (170 g),,openfoodfacts
3003408154,"Enriched golden sliced buns, honey",Giant Eagle,256.0,9.3,46.51,4.65,1 BUN (43 g),,openfoodfacts
3003408173,100% whole wheat bread,Giant Eagle,240.0,12.0,44.0,3.0,2 SLICES (50 g),,openfoodfacts
3003408685,"Croutons, texas toast garlic & butter",,429.0,14.29,57.14,21.43,2 Tbsp (7 g),,openfoodfacts
3003408689,"Croutons, garlic butter focaccia",,429.0,14.29,71.43,14.29,2 Tbsp (7 g),,openfoodfacts
3003408885,"Greek nonfat yogurt, coconut",Giant Eagle,80.0,8.67,12.67,0.0,5.3 ONZ (150 g),,openfoodfacts
3003408886,"Greek nonfat yogurt, key lime",Giant Eagle,80.0,8.67,12.67,0.0,5.3 ONZ (150 g),,openfoodfacts
3003408887,"Blended nonfat greek yogurt, strawberry",Giant Eagle,84.0,8.37,12.78,0.0,1 cup (227 g),,openfoodfacts
3003408977,"Blended greek nonfat yogurt, pumpkin",Giant Eagle,87.0,8.67,12.67,0.0,1 CONTAINER (150 g),,openfoodfacts
3003409268,Enriched Hot Dog Buns,Giant Eagle,256.0,9.3,48.84,3.49,1 BUN (43 g),,openfoodfacts
3003409373,"Lowfat yogurt, orange cream",Giant Eagle,88.0,2.94,17.65,0.88,1 CONTAINER (170 g),,openfoodfacts
3003409552,Enriched hamburger sliced buns,Giant Eagle,256.0,9.3,48.84,3.49,1 BUN (43 g),,openfoodfacts
3003409685,Organic seeded bread,,244.0,11.11,46.67,3.33,1 SLICE (45 g),,openfoodfacts
3003409686,"Organic bread, sprouted honey oat",,244.0,13.33,48.89,2.22,1 SLICE (45 g),,openfoodfacts
3003409688,Organic sprouted grain bread,,256.0,13.95,44.19,2.33,2 SLICES (43 g),,openfoodfacts
3003410351,"Aussiestyle yogurt, blueberry",Market District,128.0,6.17,15.42,4.85,1 CONTAINER (227 g),,openfoodfacts
3003410352,"Aussie style yogurt, strawberry",Market District,123.0,6.17,14.98,4.41,1 CONTAINER (227 g),,openfoodfacts
3003410353,"Aussie style yogurt, raspberry",Market District,123.0,6.17,14.54,4.85,1 CONTAINER (227 g),,openfoodfacts
3003410573,Ciabatta Bread,Giant Eagle,246.0,8.77,50.88,0.0,1.75 SLICE (57 g),,openfoodfacts
3003410574,"Bake at home bread, ciabatta rolls",Giant Eagle,261.0,7.61,50.0,3.26,1 ROLL (92 g),,openfoodfacts
3003410575,French demi baguettes bread,Giant Eagle,246.0,8.77,50.88,0.0,"3.5 "" SLICE (57 g)",,openfoodfacts
3003410577,French dinner rolls,Giant Eagle,246.0,8.77,52.63,0.0,1 ROLL (57 g),,openfoodfacts
