item_name,cat,kcal_100g,fat_100g,carbs_100g,protein_100g,source,cat_l1,cat_l2,cat_l3,item_name_word_count
lowfat yogurt,yogurts,100.0,0.88,18.24,4.12,off,dairy & eggs,yogurt,yogurts,2
light nonfat yogurt,yogurts,53.0,0.0,8.82,3.53,off,dairy & eggs,yogurt,yogurts,3
light nonfat yogurt,yogurts,53.0,0.0,9.41,3.53,off,dairy & eggs,yogurt,yogurts,3
light nonfat yogurt,yogurts,53.0,0.0,9.41,3.53,off,dairy & eggs,yogurt,yogurts,3
light nonfat yogurt,yogurts,53.0,0.0,9.41,3.53,off,dairy & eggs,yogurt,yogurts,3
light nonfat yogurt strawberry,yogurts,53.0,0.0,9.41,3.53,off,dairy & eggs,yogurt,yogurts,4
light nonfat yogurt,yogurts,53.0,0.0,9.41,3.53,off,dairy & eggs,yogurt,yogurts,3
light nonfat yogurt,yogurts,59.0,0.0,11.18,3.53,off,dairy & eggs,yogurt,yogurts,3
blended lowfat yogurt,yogurts,88.0,0.88,16.47,3.53,off,dairy & eggs,yogurt,yogurts,3
blended lowfat yogurt,yogurts,94.0,0.88,17.65,3.53,off,dairy & eggs,yogurt,yogurts,3
blended lowfat yogurt raspberry,yogurts,94.0,0.88,17.65,3.53,off,dairy & eggs,yogurt,yogurts,4
blended lowfat yogurt,yogurts,94.0,0.88,17.65,3.53,off,dairy & eggs,yogurt,yogurts,3
blended lowfat yogurt strawberry,yogurts,94.0,0.88,17.65,3.53,off,dairy & eggs,yogurt,yogurts,4
light nonfat yogurt apple pie,yogurts,53.0,0.0,9.41,3.53,off,dairy & eggs,yogurt,yogurts,5
lowfat yogurt strawberry banana,yogurts,100.0,0.88,18.24,4.12,off,dairy & eggs,yogurt,yogurts,4
lowfat yogurt plain,yogurts,59.0,1.18,7.06,5.29,off,dairy & eggs,yogurt,yogurts,3
light nonfat yogurt lemon,yogurts,53.0,0.0,8.82,3.53,off,dairy & eggs,yogurt,yogurts,4
blended lowfat yogurt,yogurts,100.0,0.88,18.82,3.53,off,dairy & eggs,yogurt,yogurts,3
garlic breadsticks,breads,300.0,8.0,48.0,8.0,off,grains & pasta,bread,breads,2
croutons,breads,429.0,14.29,71.43,14.29,off,grains & pasta,bread,breads,1
croutons cheese and garlic,croutons,429.0,14.29,71.43,14.29,off,snacks,other snacks,croutons,4
italian seasoned croutons,breads,429.0,14.29,71.43,14.29,off,grains & pasta,bread,breads,3
bagels onion,breads,265.0,1.23,58.02,9.88,off,grains & pasta,bread,breads,2
enriched bread,breads,265.0,2.94,52.94,8.82,off,grains & pasta,bread,breads,2
steel cut oatmeal bread,breads,263.0,2.63,44.74,10.53,off,grains & pasta,bread,breads,4
sourdough wheat bread,breads,244.44444444444,1.1111111111111,48.888888888889,8.8888888888889,off,grains & pasta,bread,breads,3
raspberry greek nonfat yogurt raspberry,yogurts,80.0,0.0,12.0,8.0,off,dairy & eggs,yogurt,yogurts,5
greek nonfat yogurt vanilla,yogurts,76.0,0.0,10.0,8.82,off,dairy & eggs,yogurt,yogurts,4
black cherry greek nonfat yogurt,yogurts,80.0,0.0,12.67,8.0,off,dairy & eggs,yogurt,yogurts,5
mango greek nonfat yogurt,yogurts,87.0,0.0,14.0,8.0,off,dairy & eggs,yogurt,yogurts,4
seasoned croutons seasoned,breads,429.0,14.29,71.43,14.29,off,grains & pasta,bread,breads,3
caesar croutons caesar,breads,429.0,14.29,71.43,14.29,off,grains & pasta,bread,breads,3
greek nonfat yogurt strawberry,greek-style yogurts,67.0,0.0,9.33,8.0,off,dairy & eggs,yogurt,greek-style yogurts,4
nonfat greek yogurt blueberry,greek-style yogurts,67.0,0.0,9.33,8.0,off,dairy & eggs,yogurt,greek-style yogurts,4
nonfat greek yogurt vanilla,greek-style yogurts,67.0,0.0,9.33,8.0,off,dairy & eggs,yogurt,greek-style yogurts,4
nonfat greek yogurt cherry,yogurts,67.0,0.0,9.33,8.0,off,dairy & eggs,yogurt,yogurts,4
vanilla cultured dairy blend vanilla,yogurts,41.0,0.88,2.94,5.29,off,dairy & eggs,yogurt,yogurts,5
blackberry cultured dairy blend blackberry,yogurts,41.0,0.88,2.94,5.29,off,dairy & eggs,yogurt,yogurts,5
lite nonfat yogurt blueberry,yogurts,53.0,0.0,9.41,3.53,off,dairy & eggs,yogurt,yogurts,4
lite nonfat yogurt strawberry,yogurts,53.0,0.0,8.82,3.53,off,dairy & eggs,yogurt,yogurts,4
lite nonfat yogurt vanilla,yogurts,47.0,0.0,8.82,3.53,off,dairy & eggs,yogurt,yogurts,4
lite nonfat yogurt peach,yogurts,53.0,0.0,8.82,3.53,off,dairy & eggs,yogurt,yogurts,4
lite nonfat yogurt strawberry banana,yogurts,53.0,0.0,9.41,3.53,off,dairy & eggs,yogurt,yogurts,5
lite nonfat yogurt lemon,yogurts,47.0,0.0,8.82,3.53,off,dairy & eggs,yogurt,yogurts,4
lite nonfat yogurt cherry cheesecake,yogurts,53.0,0.0,10.0,3.53,off,dairy & eggs,yogurt,yogurts,5
lite nonfat yogurt vanilla,yogurts,49.0,0.0,8.85,3.54,off,dairy & eggs,yogurt,yogurts,4
lite nonfat yogurt plain,yogurts,53.0,0.0,8.81,4.41,off,dairy & eggs,yogurt,yogurts,4
coconut greek nonfat yogurt,yogurts,73.0,0.0,10.0,8.67,off,dairy & eggs,yogurt,yogurts,4
lemon greek nonfat yogurt,yogurts,80.0,0.0,11.33,8.67,off,dairy & eggs,yogurt,yogurts,4
plain nonfat yogurt plain,yogurts,53.0,0.0,9.41,4.71,off,dairy & eggs,yogurt,yogurts,4
vanilla low fat yogurt,yogurts,94.0,1.18,16.47,4.71,off,dairy & eggs,yogurt,yogurts,4
cultured dairy blend vanilla,yogurts,40.0,0.88,2.65,5.31,off,dairy & eggs,yogurt,yogurts,4
wheat pita pockets,breads,220.0,0.0,50.0,8.0,off,grains & pasta,bread,breads,3
harvest wheat bread harvest wheat,wheat breads,246.0,5.26,42.11,7.02,off,grains & pasta,bread,wheat breads,5
garlic bread,breads,211.0,1.75,42.11,7.84902683928572,off,grains & pasta,bread,breads,2
pane di casa artisan bread,breads,211.0,0.0,42.11,7.02,off,grains & pasta,bread,breads,5
multigrain sandwich flats,breads,222.0,3.33,46.67,8.89,off,grains & pasta,bread,breads,3
